"la_code","quarter","la_name","population_65plus","region","deprivation_score","applications","rate_per_10k","date"
"LA001",1,"Local Authority 1",79565,"South West",32.074666058179,326,41,2022-01-01
"LA001",2,"Local Authority 1",79565,"South West",32.074666058179,426,53.5,2022-04-01
"LA001",3,"Local Authority 1",79565,"South West",32.074666058179,363,45.6,2022-06-30
"LA001",4,"Local Authority 1",79565,"South West",32.074666058179,385,48.4,2022-09-28
"LA001",5,"Local Authority 1",79565,"South West",32.074666058179,504,63.3,2022-12-27
"LA001",6,"Local Authority 1",79565,"South West",32.074666058179,387,48.6,2023-03-27
"LA001",7,"Local Authority 1",79565,"South West",32.074666058179,813,102.2,2023-06-25
"LA001",8,"Local Authority 1",79565,"South West",32.074666058179,608,76.4,2023-09-23
"LA001",9,"Local Authority 1",79565,"South West",32.074666058179,753,94.6,2023-12-22
"LA001",10,"Local Authority 1",79565,"South West",32.074666058179,822,103.3,2024-03-21
"LA001",11,"Local Authority 1",79565,"South West",32.074666058179,884,111.1,2024-06-19
"LA001",12,"Local Authority 1",79565,"South West",32.074666058179,872,109.6,2024-09-17
"LA002",1,"Local Authority 2",138741,"Yorkshire",29.6235165325925,565,40.7,2022-01-01
"LA002",2,"Local Authority 2",138741,"Yorkshire",29.6235165325925,722,52,2022-04-01
"LA002",3,"Local Authority 2",138741,"Yorkshire",29.6235165325925,779,56.1,2022-06-30
"LA002",4,"Local Authority 2",138741,"Yorkshire",29.6235165325925,783,56.4,2022-09-28
"LA002",5,"Local Authority 2",138741,"Yorkshire",29.6235165325925,848,61.1,2022-12-27
"LA002",6,"Local Authority 2",138741,"Yorkshire",29.6235165325925,927,66.8,2023-03-27
"LA002",7,"Local Authority 2",138741,"Yorkshire",29.6235165325925,1305,94.1,2023-06-25
"LA002",8,"Local Authority 2",138741,"Yorkshire",29.6235165325925,1248,90,2023-09-23
"LA002",9,"Local Authority 2",138741,"Yorkshire",29.6235165325925,1160,83.6,2023-12-22
"LA002",10,"Local Authority 2",138741,"Yorkshire",29.6235165325925,1517,109.3,2024-03-21
"LA002",11,"Local Authority 2",138741,"Yorkshire",29.6235165325925,1255,90.5,2024-06-19
"LA002",12,"Local Authority 2",138741,"Yorkshire",29.6235165325925,1346,97,2024-09-17
"LA003",1,"Local Authority 3",133415,"North East",16.9379961513914,663,49.7,2022-01-01
"LA003",2,"Local Authority 3",133415,"North East",16.9379961513914,605,45.3,2022-04-01
"LA003",3,"Local Authority 3",133415,"North East",16.9379961513914,769,57.6,2022-06-30
"LA003",4,"Local Authority 3",133415,"North East",16.9379961513914,719,53.9,2022-09-28
"LA003",5,"Local Authority 3",133415,"North East",16.9379961513914,708,53.1,2022-12-27
"LA003",6,"Local Authority 3",133415,"North East",16.9379961513914,799,59.9,2023-03-27
"LA003",7,"Local Authority 3",133415,"North East",16.9379961513914,843,63.2,2023-06-25
"LA003",8,"Local Authority 3",133415,"North East",16.9379961513914,1180,88.4,2023-09-23
"LA003",9,"Local Authority 3",133415,"North East",16.9379961513914,1269,95.1,2023-12-22
"LA003",10,"Local Authority 3",133415,"North East",16.9379961513914,1305,97.8,2024-03-21
"LA003",11,"Local Authority 3",133415,"North East",16.9379961513914,1383,103.7,2024-06-19
"LA003",12,"Local Authority 3",133415,"North East",16.9379961513914,1411,105.8,2024-09-17
