"practice_code","practice_name","icb_code","icb_name","region","list_size","survey_responses","imd_quintile","rural_urban","phone_difficult_n"
"QGF2657","Practice 1","Q83","NHS Devon ICB","London",2386,267,2,"Rural",100
"EQQ8196","Practice 2","Q31","NHS Somerset ICB","North West",6730,65,5,"Rural",18
"AIW2734","Practice 3","Q69","NHS Cornwall ICB","South West",500,244,3,"Urban",91
"YDX8785","Practice 4","Q20","NHS Cornwall ICB","London",5890,208,3,"Urban",59
"JZI1576","Practice 5","Q90","NHS Devon ICB","East",8943,154,1,"Urban",77
"DPK8204","Practice 6","Q29","NHS Cornwall ICB","London",10392,217,2,"Urban",
"RYU9369","Practice 7","Q29","NHS Somerset ICB","South East",10521,301,3,"Urban",107
"ZWZ4379","Practice 8","Q62","NHS Devon ICB","East",746,75,4,"Urban",27
"QJH3753","Practice 9","Q29","NHS Dorset ICB","Midlands",5723,146,3,"Urban",73
"OAN7703","Practice 10","Q31","NHS Cornwall ICB","South West",6908,211,1,"Urban",54
"XIK7383","Practice 11","Q31","NHS Cornwall ICB","Midlands",3372,139,5,"Urban",41
"GGP1614","Practice 12","Q97","NHS Dorset ICB","North West",7249,116,4,"Urban",59
"DNB6788","Practice 13","Q90","NHS Dorset ICB","South East",6332,182,1,"Urban",77
"YOE9094","Practice 14","Q90","NHS Dorset ICB","East",7535,155,3,"Rural",43
"EZM9206","Practice 15","Q35","NHS Somerset ICB","London",7710,293,3,"Urban",72
"NVI6984","Practice 16","Q69","NHS Somerset ICB","North West",4596,166,2,"Urban",80
"TQB9380","Practice 17","Q31","NHS Cornwall ICB","South West",7264,174,3,"Rural",65
"ZFI9221","Practice 18","Q77","NHS Somerset ICB","North West",14435,146,3,"Rural",57
"RAF9834","Practice 19","Q94","NHS Somerset ICB","North West",11513,261,5,"Urban",82
"ORV1435","Practice 20","Q20","NHS Cornwall ICB","East",16580,224,3,"Urban",76
"CKE5924","Practice 21","Q68","NHS Somerset ICB","East",10446,30,5,"Urban",11
"ITS3964","Practice 22","Q22","NHS Somerset ICB","South West",10883,176,2,"Urban",48
"YQQ1205","Practice 23","Q62","NHS Devon ICB","East",9542,171,2,"Urban",37
"DRR1481","Practice 24","Q29","NHS Devon ICB","South East",4879,258,1,"Urban",105
"ENQ1033","Practice 25","Q69","NHS Devon ICB","Midlands",4155,153,5,"Rural",48
"MPU4289","Practice 26","Q69","NHS Dorset ICB","London",7676,160,3,"Urban",
"EUA6170","Practice 27","Q29","NHS Devon ICB","North West",4317,292,4,"Urban",117
"TFV6442","Practice 28","Q36","NHS Somerset ICB","East",7899,73,3,"Urban",42
"BQA7824","Practice 29","Q22","NHS Dorset ICB","East",4651,268,5,"Rural",96
"HOR8735","Practice 30","Q22","NHS Cornwall ICB","Midlands",10881,195,3,"Urban",59
"CVI1344","Practice 31","Q62","NHS Cornwall ICB","Midlands",3769,205,1,"Urban",104
"ZBE6552","Practice 32","Q62","NHS Cornwall ICB","North West",6287,90,4,"Urban",48
